,inning,over,ball,total_runs,player_dismissed,batsman cluster,bowler cluster,batting_team_Chennai Super Kings,batting_team_Delhi Capitals,batting_team_Kings XI Punjab,batting_team_Kolkata Knight Riders,batting_team_Mumbai Indians,batting_team_Rajasthan Royals,batting_team_Royal Challengers Bangalore,batting_team_Sunrisers Hyderabad,bowling_team_Chennai Super Kings,bowling_team_Delhi Capitals,bowling_team_Kings XI Punjab,bowling_team_Kolkata Knight Riders,bowling_team_Mumbai Indians,bowling_team_Rajasthan Royals,bowling_team_Royal Challengers Bangalore,bowling_team_Sunrisers Hyderabad
0,1,1,1,0,0,9.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,1,1,2,0,0,9.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,1,1,3,4,0,9.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,1,1,4,0,0,9.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4,1,1,5,2,0,9.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5,1,1,6,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
6,1,1,7,1,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7,1,2,1,1,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8,1,2,2,4,0,9.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
9,1,2,3,1,0,9.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10,1,2,4,6,0,9.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
11,1,2,5,0,1,9.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
12,1,2,6,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
13,1,2,7,4,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
14,1,3,1,1,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
15,1,3,2,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
16,1,3,3,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
17,1,3,4,3,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
18,1,3,5,1,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
19,1,3,6,1,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
20,1,4,1,0,0,0.0,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
21,1,4,2,1,0,0.0,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
22,1,4,3,0,0,0.0,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
23,1,4,4,1,0,0.0,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
