,Player,Batting Average,Batting Strike Rate,Bowling Average,Bowling Economy Rate,Bowling Strike Rate,Team
0,A Ashish Reddy,23.5,162.06,39.0,10.17,23.0,Sunrisers Hyderabad
1,A Choudhary,25.0,125.0,28.8,8.55,20.2,Royal Challengers Bangalore
2,A Dananjaya,0.0,80.0,0.0,11.75,0.0,Mumbai Indians
3,A Mishra,15.375,65.075,26.824999999999996,7.545,21.2,Delhi Capitals
4,A Nehra,0.0,50.0,23.365000000000002,8.475000000000001,16.55,Sunrisers Hyderabad
5,AB de Villiers,44.3425,157.45999999999998,0.0,0.0,0.0,Royal Challengers Bangalore
6,AD Hales,24.66,125.42,0.0,0.0,0.0,Sunrisers Hyderabad
7,AD Mathews,16.0,118.51,0.0,11.2,0.0,Delhi Capitals
8,AD Nath,10.6,88.12,0.0,0.0,0.0,Royal Challengers Bangalore
9,AD Russell,37.41,184.83666666666667,24.263333333333335,8.953333333333333,16.133333333333333,Kolkata Knight Riders
10,AF Milne,1.75,29.165,43.83,10.16,26.0,Royal Challengers Bangalore
11,AJ Finch,16.75,134.0,0.0,0.0,0.0,Kings XI Punjab
12,AJ Turner,1.0,30.0,0.0,0.0,0.0,Rajasthan Royals
13,AJ Tye,2.665,42.105,48.16,9.295,29.0,Kings XI Punjab
14,AM Rahane,30.605,128.04999999999998,0.0,0.0,0.0,Rajasthan Royals
15,AP Tare,5.0,65.795,0.0,0.0,0.0,Sunrisers Hyderabad
16,AR Bawne,0.0,100.0,0.0,0.0,0.0,Delhi Capitals
17,AR Patel,18.97,131.3025,40.7575,7.79,30.950000000000003,Delhi Capitals
18,AS Joseph,0.0,115.38,14.5,10.03,8.6,Mumbai Indians
19,AS Rajpoot,1.915,29.5625,32.584999999999994,8.64,22.3,Kolkata Knight Riders
20,AS Roy,0.0,0.0,11.0,5.5,12.0,Mumbai Indians
21,AT Rayudu,28.765,119.9025,0.0,0.0,0.0,Chennai Super Kings
22,Abhishek Sharma,33.75,145.45,10.5,5.25,6.0,Sunrisers Hyderabad
23,Ankit Sharma,0.0,0.0,0.0,11.0,0.0,Rajasthan Royals
24,Anureet Singh,5.0,66.66666666666667,14.0,10.22,8.0,Rajasthan Royals
25,Arshdeep Singh,0.0,0.0,36.33,10.9,20.0,Kings XI Punjab
26,Avesh Khan,0.0,44.443333333333335,24.666666666666668,8.826666666666666,17.5,Delhi Capitals
27,B Kumar,5.415,100.9125,27.57,7.484999999999999,21.775,Sunrisers Hyderabad
28,B Laughlin,1.0,25.0,23.44,10.12,13.8,Rajasthan Royals
29,B Stanlake,0.0,125.0,30.5,8.434999999999999,21.6,Sunrisers Hyderabad
30,BA Stokes,18.415,122.985,34.685,9.7,22.25,Rajasthan Royals
31,BB McCullum,21.16,144.31,0.0,0.0,0.0,Royal Challengers Bangalore
32,BB Sran,0.75,60.7125,21.6875,11.497499999999999,13.55,Sunrisers Hyderabad
33,BCJ Cutting,22.75,164.67749999999998,62.5,10.0625,38.1,Sunrisers Hyderabad
34,Basil Thampi,1.5,75.0,11.4,10.185,6.1,Sunrisers Hyderabad
35,Bipul Sharma,28.25,166.57999999999998,41.665,8.265,30.3,Sunrisers Hyderabad
36,C Munro,14.533333333333333,124.55,0.0,2.5,0.0,Delhi Capitals
37,C de Grandhomme,19.093333333333334,128.92333333333332,32.75,9.343333333333334,23.0,Royal Challengers Bangalore
38,CA Ingram,18.4,119.48,0.0,0.0,0.0,Delhi Capitals
39,CA Lynn,34.51,141.1225,0.0,0.0,0.0,Kolkata Knight Riders
40,CH Gayle,31.657500000000002,143.41250000000002,7.875,1.575,7.5,Royal Challengers Bangalore
41,CH Morris,36.782500000000006,151.5275,28.72,8.555,19.75,Delhi Capitals
42,CJ Anderson,12.97,96.35499999999999,50.165,11.565,27.450000000000003,Royal Challengers Bangalore
43,CJ Dala,0.0,0.0,0.0,11.33,0.0,Delhi Capitals
44,CJ Jordan,1.0,25.0,10.816666666666668,8.653333333333334,7.066666666666666,Sunrisers Hyderabad
45,CR Brathwaite,12.5825,141.1675,28.2,9.5525,17.0,Sunrisers Hyderabad
46,CR Woakes,10.0,93.67,23.225,9.565,14.6,Royal Challengers Bangalore
47,CV Varun,0.0,0.0,35.0,11.66,18.0,Kings XI Punjab
48,D Wiese,0.0,125.0,0.0,12.25,0.0,Royal Challengers Bangalore
49,DA Miller,26.845000000000002,118.035,0.0,0.0,0.0,Kings XI Punjab
50,DA Warner,62.68000000000001,145.6966666666667,0.0,0.0,0.0,Sunrisers Hyderabad
51,DJ Bravo,25.625,138.075,34.035,8.985,22.65,Chennai Super Kings
52,DJ Hooda,17.1725,119.49499999999999,18.5825,9.115,12.5,Sunrisers Hyderabad
53,DJ Willey,0.0,0.0,47.5,9.5,30.0,Chennai Super Kings
54,DJM Short,16.42,116.16,19.0,6.33,18.0,Rajasthan Royals
55,DL Chahar,10.08,125.09,24.85,7.375,20.2,Chennai Super Kings
56,DM Bravo,0.0,120.0,0.0,0.0,0.0,Kolkata Knight Riders
57,DR Shorey,6.5,75.69,0.0,0.0,0.0,Chennai Super Kings
58,DS Kulkarni,3.0,126.185,51.415,9.52,32.35,Rajasthan Royals
59,DT Christian,13.0,78.78,25.25,8.53,17.7,Delhi Capitals
60,DW Steyn,0.0,0.0,17.25,8.62,12.0,Royal Challengers Bangalore
61,E Lewis,22.689999999999998,115.35,0.0,0.0,0.0,Mumbai Indians
62,EJG Morgan,20.425,110.985,0.0,0.0,0.0,Sunrisers Hyderabad
63,F Behardien,7.0,107.69,0.0,0.0,0.0,Kings XI Punjab
64,F du Plessis,34.2,124.47,0.0,0.0,0.0,Chennai Super Kings
65,G Gambhir,32.343333333333334,115.5,0.0,0.0,0.0,Kolkata Knight Riders
66,GB Hogg,0.0,0.0,35.5,8.87,24.0,Kolkata Knight Riders
67,GC Viljoen,1.5,42.85,31.71,9.65,19.7,Kings XI Punjab
68,GH Vihari,2.0,50.0,0.0,9.0,0.0,Delhi Capitals
69,GJ Maxwell,21.653333333333336,152.78666666666666,14.75,7.900000000000001,11.799999999999999,Kings XI Punjab
70,Gurkeerat Singh,18.419999999999998,90.46333333333332,5.166666666666667,2.5833333333333335,4.0,Royal Challengers Bangalore
71,H Klaasen,11.75,105.63499999999999,0.0,0.0,0.0,Rajasthan Royals
72,HF Gurney,0.0,20.0,34.0,8.81,23.1,Kolkata Knight Riders
73,HH Pandya,28.8825,137.71,33.8775,8.865,22.925,Mumbai Indians
74,HM Amla,43.08,138.88,0.0,0.0,0.0,Kings XI Punjab
75,HV Patel,15.0,45.4525,55.92,10.1025,32.75,Delhi Capitals
76,Harbhajan Singh,12.329999999999998,80.85,33.7175,7.5125,26.75,Chennai Super Kings
77,Harpreet Brar,0.0,166.66,0.0,9.6,0.0,Kings XI Punjab
78,I Sharma,2.0,199.995,13.42,8.76,10.6,Delhi Capitals
79,IR Jaggi,33.0,84.61,0.0,0.0,0.0,Kolkata Knight Riders
